thread nodes time
1685 1708 397.239899
1686 1652 397.239899
1687 2 397.239899
1688 0 397.239899
1689 4 397.239899
1690 3336 397.239899
1691 0 397.239899
1692 1627 397.239899
1693 0 397.239899
1694 0 397.239899
1695 0 397.239899
1664 1611 408.594788
1665 1 408.594788
1666 3242 408.594788
1667 0 408.594788
1668 1637 408.594788
1669 7 408.594788
1670 0 408.594788
1671 3308 408.594788
1672 2 408.594788
1673 1639 408.594788
1674 0 408.594788
1675 0 408.594788
1676 1 408.594788
1677 1645 408.594788
1678 3 408.594788
1679 1 408.594788
1712 0 408.594788
1713 0 408.594788
1714 1697 408.594788
1715 0 408.594788
1716 1632 408.594788
1717 0 408.594788
1718 3351 408.594788
1719 1700 408.594788
1720 0 408.594788
1721 2 408.594788
1722 1678 408.594788
1723 0 408.594788
1724 0 408.594788
1725 1701 408.594788
1726 0 408.594788
1727 0 408.594788
1344 0 407.760498
1345 1651 407.760498
1346 0 407.760498
1347 0 407.760498
1348 0 407.760498
1349 3279 407.760498
1350 1661 407.760498
1351 1638 407.760498
1352 7 407.760498
1353 1 407.760498
1354 1585 407.760498
1355 3248 407.760498
1356 1677 407.760498
1357 1688 407.760498
1358 0 407.760498
1359 1648 407.760498
1392 0 407.760498
1393 0 407.760498
1394 1666 407.760498
1395 1640 407.760498
1396 0 407.760498
1397 1665 407.760498
1398 1620 407.760498
1399 0 407.760498
1400 0 407.760498
1401 0 407.760498
1402 1 407.760498
1403 0 407.760498
1404 0 407.760498
1405 0 407.760498
1406 0 407.760498
1407 1 407.760498
1936 1695 411.087646
1937 1 411.087646
1938 0 411.087646
1939 3 411.087646
1940 0 411.087646
1941 1 411.087646
1942 0 411.087646
1943 1676 411.087646
1944 0 411.087646
1945 7 411.087646
1946 3251 411.087646
1947 2 411.087646
1948 0 411.087646
1949 0 411.087646
1950 4 411.087646
1951 1634 411.087646
1984 1632 411.087646
1985 1640 411.087646
1986 1 411.087646
1987 1629 411.087646
1988 0 411.087646
1989 3371 411.087646
1990 3260 411.087646
1991 0 411.087646
1992 1644 411.087646
1993 0 411.087646
1994 0 411.087646
1995 1675 411.087646
1996 1684 411.087646
1997 0 411.087646
1998 1687 411.087646
1999 2 411.087646
2224 1585 428.205139
2225 1659 428.205139
2226 1664 428.205139
2227 3290 428.205139
2228 1687 428.205139
2229 1614 428.205139
2230 3241 428.205139
2231 1634 428.205139
2232 1697 428.205139
2233 1659 428.205139
2234 0 428.205139
2235 1646 428.205139
2236 1689 428.205139
2237 0 428.205139
2238 1 428.205139
2239 1646 428.205139
2272 0 428.205139
2273 0 428.205139
2274 1 428.205139
2275 1700 428.205139
2276 1594 428.205139
2277 1 428.205139
2278 0 428.205139
2279 1639 428.205139
2280 0 428.205139
2281 1628 428.205139
2282 3376 428.205139
2283 4 428.205139
2284 1610 428.205139
2285 1639 428.205139
2286 0 428.205139
2287 1 428.205139
1472 1668 433.650085
1473 2 433.650085
1474 0 433.650085
1475 0 433.650085
1476 0 433.650085
1477 0 433.650085
1478 0 433.650085
1479 1686 433.650085
1480 1702 433.650085
1481 3330 433.650085
1482 3306 433.650085
1483 1618 433.650085
1484 0 433.650085
1485 1670 433.650085
1486 1666 433.650085
1487 1675 433.650085
1520 1702 433.650085
1521 1659 433.650085
1522 0 433.650085
1523 0 433.650085
1524 3322 433.650085
1525 12 433.650085
1526 0 433.650085
1527 0 433.650085
1528 0 433.650085
1529 1 433.650085
1530 1654 433.650085
1531 0 433.650085
1532 0 433.650085
1533 0 433.650085
1534 1614 433.650085
1535 0 433.650085
1264 1650 435.271027
1265 0 435.271027
1266 3282 435.271027
1267 0 435.271027
1268 1 435.271027
1269 0 435.271027
1270 1 435.271027
1271 1659 435.271027
1272 0 435.271027
